adult,id,original_language,overview,popularity,release_date,title,vote_average,genres,weighted_rating,genres_text,content,release_year
False,137116,en,"In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history.",0.004469057111938875,2017-03-23,Smurfs: The Lost Village,0.6939890710382514,"['Family', 'Comedy', 'Adventure', 'Animation']",0.4510924113238195,Family Comedy Adventure Animation,"id: 137116. title: Smurfs: The Lost Village. overview: In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history.. genres: Family Comedy Adventure Animation",2017
False,989662,en,"Aspiring actor Edward undergoes a radical medical procedure to drastically transform his appearance. But his new dream face quickly turns into a nightmare, as he loses out on the role he was born to play and becomes obsessed with reclaiming what was lost.",0.005638796472752327,2024-08-24,A Different Man,0.7571584699453552,"['Comedy', 'Drama', 'Thriller']",0.5295292855339881,Comedy Drama Thriller,"id: 989662. title: A Different Man. overview: Aspiring actor Edward undergoes a radical medical procedure to drastically transform his appearance. But his new dream face quickly turns into a nightmare, as he loses out on the role he was born to play and becomes obsessed with reclaiming what was lost.. genres: Comedy Drama Thriller",2024
False,8848,en,"Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terry's old neighbourhood who knows that Terry is no angel. When Martine proposes a foolproof plan to rob a bank, Terry recognises the danger but realises this may be the opportunity of a lifetime.",0.0053758750750879,2008-02-28,The Bank Job,0.74775956284153,"['Thriller', 'Crime', 'Drama']",0.529638473880176,Thriller Crime Drama,"id: 8848. title: The Bank Job. overview: Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terry's old neighbourhood who knows that Terry is no angel. When Martine proposes a foolproof plan to rob a bank, Terry recognises the danger but realises this may be the opportunity of a lifetime.. genres: Thriller Crime Drama",2008
False,10054,en,"Carmen and Juni think their parents are boring. Little do they know that in their day, Gregorio and Ingrid Cortez were the top secret agents from their respective countries. They gave up that life to raise their children. Now, the disappearances of several of their old colleagues forces the Cortez' return from retirement. What they didn't count on was Carmen and Juni joining the ""family business.""",0.004485557947232998,2001-03-18,Spy Kids,0.6358469945355191,"['Family', 'Action', 'Comedy', 'Adventure', 'Science Fiction']",0.3237886889665549,Family Action Comedy Adventure Science Fiction,"id: 10054. title: Spy Kids. overview: Carmen and Juni think their parents are boring. Little do they know that in their day, Gregorio and Ingrid Cortez were the top secret agents from their respective countries. They gave up that life to raise their children. Now, the disappearances of several of their old colleagues forces the Cortez' return from retirement. What they didn't count on was Carmen and Juni joining the ""family business."". genres: Family Action Comedy Adventure Science Fiction",2001
False,11645,ja,Shakespeare's King Lear is reimagined as a singular historical epic set in sixteenth-century Japan where an aging warlord divides his kingdom between his three sons.,0.0030029093641876295,1985-06-01,Ran,0.878032786885246,"['Action', 'Drama', 'History']",0.7247985801246302,Action Drama History,id: 11645. title: Ran. overview: Shakespeare's King Lear is reimagined as a singular historical epic set in sixteenth-century Japan where an aging warlord divides his kingdom between his three sons.. genres: Action Drama History,1985
False,530956,en,"While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime.",0.004198977263668909,2020-05-01,All Day and a Night,0.6775956284153005,['Drama'],0.49558014420615604,Drama,"id: 530956. title: All Day and a Night. overview: While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime.. genres: Drama",2020
False,450465,en,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.",0.004816423960814399,2019-01-16,Glass,0.73224043715847,"['Thriller', 'Drama', 'Science Fiction']",0.4996459857248601,Thriller Drama Science Fiction,"id: 450465. title: Glass. overview: In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.. genres: Thriller Drama Science Fiction",2019
False,58574,en,"There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the detective.",0.006576310842735271,2011-11-22,Sherlock Holmes: A Game of Shadows,0.7807650273224044,"['Adventure', 'Mystery', 'Action']",0.6037812591344436,Adventure Mystery Action,"id: 58574. title: Sherlock Holmes: A Game of Shadows. overview: There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the detective.. genres: Adventure Mystery Action",2011
False,64635,en,"Factory worker Doug Quaid takes a virtual mind-trip vacation with the Rekall company, opting for implanted memories of being a spy. When the procedure goes wrong, Quaid becomes a wanted man by the police and joins forces with a rebel fighter to stop the evil Chancellor Cohaagen.",0.0037390164798452603,2012-08-02,Total Recall,0.6587978142076502,"['Action', 'Science Fiction', 'Thriller']",0.3532544301699039,Action Science Fiction Thriller,"id: 64635. title: Total Recall. overview: Factory worker Doug Quaid takes a virtual mind-trip vacation with the Rekall company, opting for implanted memories of being a spy. When the procedure goes wrong, Quaid becomes a wanted man by the police and joins forces with a rebel fighter to stop the evil Chancellor Cohaagen.. genres: Action Science Fiction Thriller",2012
False,198184,en,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",0.012638062549570754,2015-03-04,Chappie,0.7418579234972678,"['Crime', 'Action', 'Science Fiction']",0.5199832610147788,Crime Action Science Fiction,"id: 198184. title: Chappie. overview: Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.. genres: Crime Action Science Fiction",2015
